date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:10	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-565a3df2e9580%22	https://preview.colorlib.com/theme/photography/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/fontawesome-webfont3e6e.eot	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:11	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-565a3df2e9580%22	https://preview.colorlib.com/theme/photography/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/fontawesome-webfontd41d.eot	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:11	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-565a3e06f04c0%22	https://preview.colorlib.com/theme/photography/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/fontawesome-webfont3e6e.woff2	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:12	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-565a3e031fbc0%22	https://preview.colorlib.com/theme/photography/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/fontawesome-webfont3e6e.woff	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:12	165548/165548	---MCZ	200	added ('OK')	font/ttf	etag:W/%22286ac-565a3dfd66e40%22	https://preview.colorlib.com/theme/photography/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/fontawesome-webfont3e6e.ttf	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:14	447050/447050	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226d24a-565a3e116dd80%22	https://preview.colorlib.com/theme/photography/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/fonts/fontawesome-webfont3e6e.svg	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:14	2036/2036	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2027%20May%202022%2009:16:14%20GMT	https://preview.colorlib.com/theme/photography/css/owl.video.play.png	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/css/owl.video.play.png	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:14	1661/1661	---M--	200	added ('OK')	image/png	etag:%2267d-565a3f7155bc0%22	https://preview.colorlib.com/theme/photography/img/elements/primary-check.png	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/img/elements/primary-check.png	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:15	1205/1205	---M--	200	added ('OK')	image/png	etag:%224b5-565a3f761a700%22	https://preview.colorlib.com/theme/photography/img/elements/success-check.png	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/img/elements/success-check.png	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
14:46:15	1249/1249	---M--	200	added ('OK')	image/png	etag:%224e1-565a3f429ad80%22	https://preview.colorlib.com/theme/photography/img/elements/disabled-check.png	C:/My%20Web%20Sites/dgd/preview.colorlib.com/theme/photography/img/elements/disabled-check.png	(from https://preview.colorlib.com/theme/photography/css/linearicons.css+font-awesome.min.css+magnific-popup.css+nice-select.css+owl.carousel.css+simplelightbox.min.css+bootstrap.css+main.css.pagespeed.cc.4Znbg69Cl-.css)
